Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region176;CN-SX;518;79abbd47-8e8b-4932-94c8-f3518ff110e9;8.98E-04;7.02E-05;5.00E-05;3.86E-04;5.81E-04;4.53E-05;4.52E-05;2.17E-04;1.71E-04;1.57E-05;3.05E-05;6.56E-05;9.94E-05;1.04E-05;2.13E-05;1.35E-05
Region177;CN-SC;519;1238ec0d-4167-453a-9ec5-50cfef0782a1;5.55E-04;5.07E-05;4.82E-05;3.49E-04;3.52E-04;3.25E-05;3.75E-05;1.69E-04;1.05E-04;1.25E-05;2.26E-05;4.61E-05;6.17E-05;8.63E-06;1.41E-05;9.82E-06
Region178;NA;86;145e04ee-7d7e-11de-9ae2-0019e336be3a;1.52E-05;1.68E-06;4.25E-07;3.56E-06;1.11E-05;1.55E-06;3.97E-07;2.86E-06;6.35E-06;1.45E-06;3.78E-07;2.76E-06;5.57E-06;1.44E-06;3.38E-07;2.78E-06
Region179;NP;88;110f1ea4-7d7e-11de-9ae2-0019e336be3a;0.000757672;6.10E-05;2.43E-05;1.46E-04;4.93E-04;4.13E-05;2.18E-05;8.40E-05;1.29E-04;1.47E-05;1.49E-05;2.85E-05;7.12E-05;9.88E-06;1.34E-05;7.52E-06
Region180;UZ;143;142f54c8-7d7e-11de-9ae2-0019e336be3a;0.000220385;1.40E-05;8.55E-06;6.43E-05;0.000130705;8.87E-06;7.19E-06;3.18E-05;4.01E-05;3.73E-06;4.37E-06;1.08E-05;2.48E-05;2.88E-06;3.27E-06;4.23E-06
Region181;UA;141;1387ef8a-7d7e-11de-9ae2-0019e336be3a;0.000331142;3.21E-05;2.43E-05;0.000201033;0.000214582;2.04E-05;2.02E-05;1.01E-04;6.55E-05;7.76E-06;1.24E-05;2.88E-05;3.95E-05;5.50E-06;8.29E-06;7.00E-06
Region182;UY;142;14266b60-7d7e-11de-9ae2-0019e336be3a;1.29E-04;1.42E-05;6.23E-06;5.36E-05;9.87E-05;1.05E-05;5.54E-06;3.43E-05;3.49E-05;4.53E-06;4.00E-06;1.15E-05;2.14E-05;3.49E-06;2.87E-06;4.10E-06
Region183;SM;111;15146d88-7d7e-11de-9ae2-0019e336be3a;6.35E-04;5.38E-05;4.76E-05;3.36E-04;3.59E-04;3.55E-05;4.28E-05;1.70E-04;1.08E-04;1.24E-05;2.16E-05;4.27E-05;6.12E-05;9.26E-06;1.42E-05;8.74E-06
Region184;PT;182;115c647a-7d7e-11de-9ae2-0019e336be3a;0.000324829;2.50E-05;2.24E-05;0.000159812;0.00019856;1.61E-05;1.59E-05;6.56E-05;5.28E-05;5.91E-06;7.70E-06;1.64E-05;3.10E-05;4.33E-06;4.37E-06;4.81E-06
Region185;CZ;155;0d45a5d6-7d7e-11de-9ae2-0019e336be3a;0.000612991;6.97E-05;5.59E-05;4.73E-04;0.00041192;4.50E-05;4.64E-05;2.35E-04;1.28E-04;1.61E-05;2.89E-05;6.22E-05;7.60E-05;1.09E-05;1.91E-05;1.23E-05
Region186;BS;192;09da334e-7d7e-11de-9ae2-0019e336be3a;2.23E-05;3.67E-06;1.12E-06;9.37E-06;1.88E-05;2.99E-06;1.11E-06;7.67E-06;9.72E-06;1.99E-06;1.03E-06;4.28E-06;7.39E-06;1.80E-06;8.39E-07;2.94E-06
Region187;CA;194;0b2a8a96-7d7e-11de-9ae2-0019e336be3a;1.23E-05;1.83E-06;9.22E-07;8.27E-06;9.56E-06;1.64E-06;8.35E-07;5.30E-06;6.06E-06;1.49E-06;6.56E-07;3.43E-06;5.41E-06;1.47E-06;5.25E-07;2.87E-06
Region188;IE;195;0d1de104-7d7e-11de-9ae2-0019e336be3a;0.000113924;1.29E-05;1.53E-05;0.00013292;7.64E-05;8.60E-06;1.17E-05;6.23E-05;2.84E-05;3.97E-06;6.62E-06;1.70E-05;1.88E-05;3.03E-06;4.08E-06;4.89E-06
Region189;NZ;191;11258d1a-7d7e-11de-9ae2-0019e336be3a;1.59E-05;1.86E-06;1.20E-06;1.15E-05;1.12E-05;1.60E-06;9.14E-07;6.04E-06;6.18E-06;1.40E-06;6.33E-07;3.43E-06;5.27E-06;1.38E-06;5.01E-07;2.75E-06
Region190;TW;193;154d2934-7d7e-11de-9ae2-0019e336be3a;0.001315824;8.98E-05;1.16E-04;0.000797841;0.000802521;5.57E-05;8.54E-05;2.93E-04;0.000176741;1.72E-05;3.45E-05;6.20E-05;9.63E-05;1.15E-05;1.89E-05;1.12E-05
Region191;CW;28;c08de0ce-64e7-4efb-a37f-8df754c262c8;3.54E-05;3.43E-06;1.62E-06;1.47E-05;2.31E-05;2.56E-06;1.37E-06;8.02E-06;1.12E-05;1.85E-06;8.77E-07;3.86E-06;8.56E-06;1.69E-06;6.86E-07;2.90E-06
Region192;SG;117;12dcac1a-7d7e-11de-9ae2-0019e336be3a;0.002649992;8.28E-05;2.58E-04;0.001418466;0.001603732;4.77E-05;1.73E-04;2.76E-04;3.48E-04;1.09E-05;3.49E-05;3.92E-05;1.95E-04;7.31E-06;1.93E-05;7.05E-06
Region193;UN-CARIBBEAN;275;87b165cf-8b3c-4289-807e-4512b4fb2b2f;2.61E-04;1.81E-05;1.73E-05;1.27E-04;1.58E-04;1.14E-05;1.16E-05;4.86E-05;3.97E-05;4.48E-06;5.74E-06;1.23E-05;2.29E-05;3.33E-06;2.99E-06;3.96E-06
Region194;UN-CAMERICA;276;fc467bec-d8f0-11de-b1d3-0019e336be3a;0.000314196;2.38E-05;1.35E-05;9.70E-05;0.000196896;1.59E-05;1.02E-05;4.49E-05;5.11E-05;5.99E-06;5.64E-06;1.30E-05;2.89E-05;4.35E-06;3.43E-06;4.33E-06
Region195;UCTE without Germany and France;274;088a91da-e0cc-11de-823b-0019e336be3a;4.65E-04;4.49E-05;3.65E-05;2.94E-04;2.98E-04;2.85E-05;2.87E-05;1.39E-04;8.93E-05;1.05E-05;1.73E-05;3.73E-05;5.32E-05;7.27E-06;1.13E-05;8.38E-06
Region196;AF;255;0c608726-7d7e-11de-9ae2-0019e336be3a;0.000228173;1.68E-05;1.12E-05;8.18E-05;1.47E-04;1.11E-05;1.01E-05;4.78E-05;4.71E-05;4.58E-06;7.13E-06;1.63E-05;2.88E-05;3.37E-06;4.61E-06;5.18E-06
Region197;CL;232;0c852cde-7d7e-11de-9ae2-0019e336be3a;4.62E-05;3.40E-06;9.48E-07;1.02E-05;2.96E-05;2.48E-06;8.52E-07;6.35E-06;1.28E-05;1.74E-06;6.79E-07;3.94E-06;9.28E-06;1.62E-06;6.47E-07;3.06E-06
Region198;FR;230;0d751636-7d7e-11de-9ae2-0019e336be3a;0.000473666;5.10E-05;4.23E-05;0.000371216;0.000312807;3.24E-05;3.29E-05;1.80E-04;0.000104745;1.27E-05;2.06E-05;4.82E-05;6.42E-05;8.73E-06;1.39E-05;1.02E-05
Region199;GB;233;13725fee-7d7e-11de-9ae2-0019e336be3a;0.000598714;6.12E-05;5.98E-05;0.000602472;0.000383978;3.66E-05;4.27E-05;2.63E-04;0.000134734;1.39E-05;2.43E-05;6.47E-05;8.38E-05;9.60E-06;1.60E-05;1.29E-05
Region200;HN;234;0e4809f6-7d7e-11de-9ae2-0019e336be3a;0.000314465;3.20E-05;2.81E-05;2.22E-04;0.00021302;2.16E-05;2.17E-05;1.09E-04;6.26E-05;8.77E-06;1.30E-05;2.87E-05;3.68E-05;6.24E-06;7.56E-06;6.48E-06
Region201;PA;231;115546c2-7d7e-11de-9ae2-0019e336be3a;6.50E-05;5.21E-06;5.75E-06;4.02E-05;4.03E-05;3.83E-06;4.32E-06;1.62E-05;1.11E-05;2.03E-06;2.01E-06;5.39E-06;7.50E-06;1.79E-06;1.20E-06;2.82E-06
Region202;ZA;122;12b21766-7d7e-11de-9ae2-0019e336be3a;0.000139452;1.08E-05;5.74E-06;4.53E-05;9.00E-05;7.19E-06;4.17E-06;2.18E-05;2.95E-05;3.34E-06;2.53E-06;7.59E-06;1.86E-05;2.66E-06;1.49E-06;3.59E-06
Region203;MM;178;0a06dd7c-7d7e-11de-9ae2-0019e336be3a;3.95E-04;3.34E-05;2.01E-05;1.29E-04;2.54E-04;2.33E-05;1.55E-05;6.20E-05;5.86E-05;8.37E-06;8.88E-06;1.82E-05;3.12E-05;5.98E-06;5.59E-06;4.93E-06
Region204;Europe without Switzerland and Austria;334;f4f87f1d-101c-4b43-b2de-f646734ae9fe;2.32E-04;2.42E-05;1.99E-05;1.70E-04;1.51E-04;1.56E-05;1.58E-05;8.17E-05;4.84E-05;6.16E-06;9.55E-06;2.25E-05;3.00E-05;4.48E-06;6.29E-06;5.91E-06
Region205;US-TRE;320;854cdfab-82bf-4c25-8515-ba33589d3efe;0.000181208;1.38E-05;6.56E-06;5.20E-05;0.000112841;8.88E-06;4.94E-06;2.55E-05;3.67E-05;3.94E-06;3.02E-06;8.55E-06;2.27E-05;3.04E-06;2.02E-06;3.74E-06
Region206;US-LA;391;2ee2dbc5-0095-44a4-bb20-5faa60c17efe;0.000180818;1.38E-05;8.84E-06;5.91E-05;0.000114293;9.33E-06;6.55E-06;2.63E-05;2.84E-05;3.83E-06;3.42E-06;8.47E-06;1.68E-05;2.94E-06;2.22E-06;3.54E-06
Region207;BR-SC;455;4645f771-3596-4c42-ba0f-822d1ce2fb72;2.22E-04;2.20E-05;2.51E-05;1.90E-04;1.44E-04;1.46E-05;1.82E-05;8.54E-05;4.17E-05;6.02E-06;1.03E-05;2.27E-05;2.53E-05;4.42E-06;6.16E-06;5.56E-06
Region208;CN-AH;494;2f82cf2a-d2e0-4be3-b60c-399bfe93d403;1.24E-03;1.09E-04;6.72E-05;5.19E-04;7.98E-04;7.21E-05;5.41E-05;2.63E-04;2.13E-04;2.56E-05;3.33E-05;7.45E-05;1.19E-04;1.71E-05;2.24E-05;1.49E-05
Region209;AG;211;09581fbc-7d7e-11de-9ae2-0019e336be3a;4.60E-05;2.17E-06;3.81E-06;1.15E-05;2.94E-05;1.60E-06;1.48E-06;5.03E-06;6.23E-06;1.37E-06;6.02E-07;2.81E-06;4.95E-06;1.37E-06;4.30E-07;2.63E-06
Region210;NL;165;10df2fe6-7d7e-11de-9ae2-0019e336be3a;1.18E-03;1.16E-04;1.04E-04;1.07E-03;7.49E-04;6.72E-05;7.38E-05;4.33E-04;2.34E-04;2.41E-05;4.05E-05;1.01E-04;1.41E-04;1.61E-05;2.71E-05;1.85E-05
Region211;UN-AUSTRALIANZ;288;fb4bde60-e62b-11de-ba56-0019e336be3a;8.62E-06;1.34E-06;4.60E-07;4.31E-06;7.09E-06;1.32E-06;4.09E-07;3.05E-06;5.24E-06;1.36E-06;3.72E-07;2.76E-06;4.91E-06;1.38E-06;3.41E-07;2.75E-06
Region212;WEU;287;de74489a-e3bf-4b3a-8463-b7b9eba8a8fb;0.000665899;7.15E-05;6.17E-05;0.000556962;0.000436483;4.48E-05;4.77E-05;0.00026014;0.000140273;1.66E-05;2.89E-05;6.74E-05;8.51E-05;1.13E-05;1.92E-05;1.31E-05
Region213;BR-BA;436;929f1a52-bb4d-4a86-8439-6b01d8813196;4.49E-05;4.66E-06;4.90E-06;3.82E-05;3.06E-05;3.43E-06;3.58E-06;1.67E-05;1.11E-05;2.06E-06;2.04E-06;5.74E-06;8.00E-06;1.83E-06;1.20E-06;3.06E-06
Region214;BR-CE;437;dc8836a3-1d91-49ed-b4b7-0482f7ec3eaf;8.69E-05;7.77E-06;7.42E-06;6.04E-05;5.60E-05;5.45E-06;5.41E-06;2.54E-05;1.72E-05;2.74E-06;3.03E-06;7.63E-06;1.13E-05;2.26E-06;1.74E-06;3.33E-06
Region215;IN-CH;464;1b5afe13-e071-4c8a-81b5-68eb8982053f;0.002525763;1.72E-04;3.54E-05;1.94E-04;0.001732132;1.23E-04;2.69E-05;8.02E-05;3.54E-04;3.72E-05;1.57E-05;2.48E-05;1.72E-04;2.47E-05;1.82E-05;7.19E-06
Region216;PW;96;1505b46e-7d7e-11de-9ae2-0019e336be3a;9.61E-06;9.65E-07;8.80E-07;5.97E-06;6.11E-06;9.52E-07;6.35E-07;2.30E-06;3.37E-06;1.05E-06;3.17E-07;2.11E-06;3.26E-06;1.12E-06;2.86E-07;2.28E-06
Region217;TC;137;15177c76-7d7e-11de-9ae2-0019e336be3a;1.91E-05;2.48E-06;6.04E-07;4.46E-06;1.46E-05;2.41E-06;6.46E-07;4.31E-06;8.02E-06;1.84E-06;6.96E-07;3.42E-06;6.51E-06;1.68E-06;5.58E-07;2.81E-06
Region218;GD;180;0d9a9384-7d7e-11de-9ae2-0019e336be3a;4.49E-05;2.49E-06;2.52E-06;1.81E-05;3.33E-05;1.95E-06;1.52E-06;6.45E-06;7.64E-06;1.52E-06;7.03E-07;3.31E-06;5.58E-06;1.44E-06;5.24E-07;2.67E-06
Region219;IN-OR;484;bf61f94b-cbd6-4a41-9c8b-0ef2b4e06c3c;1.23E-03;9.19E-05;2.56E-05;1.46E-04;7.49E-04;6.39E-05;1.98E-05;6.93E-05;1.55E-04;2.09E-05;1.02E-05;2.10E-05;7.58E-05;1.43E-05;7.44E-06;5.66E-06
Region220;CK;236;0cf01346-7d7e-11de-9ae2-0019e336be3a;3.71E-06;8.28E-07;1.76E-07;1.46E-06;3.57E-06;9.57E-07;2.01E-07;1.62E-06;3.79E-06;1.19E-06;2.45E-07;2.30E-06;3.88E-06;1.25E-06;2.64E-07;2.55E-06
Region221;LU;71;100cd4b0-7d7e-11de-9ae2-0019e336be3a;8.08E-04;1.05E-04;8.10E-05;7.29E-04;5.61E-04;7.14E-05;6.43E-05;3.91E-04;1.99E-04;2.80E-05;4.56E-05;1.11E-04;1.28E-04;1.96E-05;3.16E-05;2.11E-05
Region222;Europe without Switzerland and France;336;6a1e0054-4990-4d43-b7e4-e3d9a595a275;0.000221034;2.30E-05;1.89E-05;0.00016092;0.000143772;1.48E-05;1.50E-05;7.71E-05;4.58E-05;5.86E-06;9.03E-06;2.13E-05;2.84E-05;4.28E-06;5.94E-06;5.71E-06
Region223;RER w/o DE+NL+RU;337;5c322a16-89ab-48d4-b1a2-fec5759774a3;2.93E-04;2.94E-05;2.43E-05;2.03E-04;1.89E-04;1.88E-05;1.91E-05;9.72E-05;5.97E-05;7.31E-06;1.16E-05;2.67E-05;3.66E-05;5.23E-06;7.65E-06;6.63E-06
Region224;UN-NAFRICA;294;e675a82e-88d2-11de-99d3-0019e336be3a;0.000113856;7.42E-06;2.22E-06;1.72E-05;7.06E-05;5.00E-06;1.76E-06;8.94E-06;2.29E-05;2.52E-06;1.12E-06;4.28E-06;1.49E-05;2.13E-06;8.97E-07;3.10E-06
Region225;UN-SASIA;295;e6d3af00-88d2-11de-99d3-0019e336be3a;7.79E-05;6.34E-06;3.11E-06;2.46E-05;5.09E-05;4.43E-06;2.31E-06;1.25E-05;1.80E-05;2.42E-06;1.47E-06;5.25E-06;1.22E-05;2.06E-06;9.21E-07;3.20E-06
Region226;RER w/o DE+NL+NO+RU;338;8bd484ff-ec4e-45c6-9f61-e211a872a4ff;3.27E-04;3.28E-05;2.71E-05;2.27E-04;2.11E-04;2.09E-05;2.13E-05;1.08E-04;6.64E-05;8.03E-06;1.29E-05;2.95E-05;4.04E-05;5.70E-06;8.51E-06;7.09E-06
Region227;Europe without NORDEL (NCPA);347;a2d4e588-e0d1-11de-823b-0019e336be3a;0.000274333;2.84E-05;2.35E-05;0.000200284;0.000178434;1.82E-05;1.86E-05;9.60E-05;5.65E-05;7.06E-06;1.12E-05;2.61E-05;3.47E-05;5.06E-06;7.40E-06;6.49E-06
Region228;RER w/o AT+BE+CH+DE+FR+IT;348;c428af56-39c0-4dca-a617-8716b52a6640;0.000183258;1.91E-05;1.54E-05;0.000130806;0.00011933;1.24E-05;1.24E-05;6.36E-05;3.84E-05;5.05E-06;7.48E-06;1.80E-05;2.41E-05;3.76E-06;4.92E-06;5.17E-06
Region229;CN-JX;510;f5c62675-f6ae-4bc4-8c9b-3b737ef2ea53;0.001049809;9.28E-05;7.67E-05;5.43E-04;6.65E-04;6.21E-05;5.82E-05;2.58E-04;1.67E-04;2.20E-05;3.26E-05;6.81E-05;9.26E-05;1.52E-05;1.97E-05;1.33E-05
Region230;CN-JL;511;e58a4a8a-ca18-48d8-9023-3628de160e8e;3.82E-04;3.07E-05;2.63E-05;2.28E-04;2.39E-04;1.94E-05;2.25E-05;1.21E-04;7.07E-05;7.29E-06;1.40E-05;3.41E-05;4.19E-05;5.14E-06;9.42E-06;7.71E-06
Region231;CN-LN;512;13b215dc-598a-480e-98e6-13675076ac78;0.000644208;4.67E-05;3.65E-05;3.20E-04;3.99E-04;2.90E-05;3.16E-05;1.66E-04;1.13E-04;1.02E-05;1.85E-05;4.68E-05;6.60E-05;7.04E-06;1.28E-05;9.93E-06
Region232;CN-NX;513;9e2f10b3-138f-4320-95a3-ea3853c5fbdd;0.000457249;2.71E-05;2.23E-05;0.000171169;2.75E-04;1.70E-05;1.93E-05;8.88E-05;7.59E-05;6.41E-06;1.23E-05;2.75E-05;4.43E-05;4.44E-06;8.11E-06;7.03E-06
Region233;CN-QH;514;06422af3-6431-4f6f-a555-7c0e008bce8b;4.32E-05;4.19E-06;3.49E-06;2.93E-05;3.04E-05;3.12E-06;3.31E-06;1.94E-05;1.30E-05;2.01E-06;2.47E-06;7.89E-06;9.58E-06;1.80E-06;1.28E-06;3.65E-06
Region234;CN-SA;515;232efb31-1dd5-4d00-87a8-5fa631021c17;0.000703409;5.57E-05;4.32E-05;0.000295462;0.000432636;3.54E-05;3.60E-05;1.54E-04;0.000121051;1.27E-05;2.36E-05;4.60E-05;6.92E-05;8.66E-06;1.68E-05;1.02E-05
Region235;CN-SD;516;2b2ddda2-bb8e-42f7-82e5-013cc04f7bc5;0.001326282;9.71E-05;5.73E-05;0.000454455;0.000812249;6.08E-05;4.72E-05;0.000223479;0.000217682;2.05E-05;2.80E-05;6.53E-05;0.000122528;1.35E-05;2.00E-05;1.35E-05
Region236;BA;12;09f7dc00-7d7e-11de-9ae2-0019e336be3a;3.44E-04;2.96E-05;3.08E-05;2.08E-04;2.13E-04;1.91E-05;2.33E-05;9.69E-05;5.87E-05;7.11E-06;1.32E-05;2.63E-05;3.50E-05;5.13E-06;8.27E-06;6.53E-06
Region237;BO;11;09fd4f82-7d7e-11de-9ae2-0019e336be3a;5.67E-05;4.69E-06;2.28E-06;1.67E-05;3.71E-05;3.51E-06;1.73E-06;9.02E-06;1.19E-05;1.99E-06;1.10E-06;4.29E-06;8.26E-06;1.78E-06;7.84E-07;2.91E-06
Region238;BW;13;12bee8d8-7d7e-11de-9ae2-0019e336be3a;2.12E-05;2.17E-06;5.58E-07;4.41E-06;1.50E-05;1.86E-06;4.91E-07;3.23E-06;7.32E-06;1.55E-06;4.32E-07;2.84E-06;6.06E-06;1.51E-06;3.75E-07;2.78E-06
Region239;HU;53;0e56bc44-7d7e-11de-9ae2-0019e336be3a;0.000497634;5.07E-05;3.60E-05;2.76E-04;0.000324333;3.28E-05;2.96E-05;1.37E-04;9.54E-05;1.20E-05;1.87E-05;3.78E-05;5.54E-05;8.12E-06;1.22E-05;8.48E-06
Region240;IQ;54;0ecd6952-7d7e-11de-9ae2-0019e336be3a;4.11E-04;2.56E-05;8.82E-06;6.96E-05;2.54E-04;1.65E-05;6.84E-06;3.40E-05;7.71E-05;6.13E-06;4.02E-06;1.04E-05;4.54E-05;4.35E-06;2.63E-06;4.19E-06
Region241;US-SERC;322;a7b38401-afb6-4130-86f6-cd5184c6c40e;0.000274037;2.32E-05;1.46E-05;0.000111415;0.000176146;1.56E-05;1.15E-05;5.56E-05;4.92E-05;6.01E-06;6.85E-06;1.68E-05;2.90E-05;4.39E-06;4.44E-06;4.99E-06
Region242;CF;23;0cd759a0-7d7e-11de-9ae2-0019e336be3a;5.82E-05;5.44E-06;2.81E-06;1.72E-05;4.04E-05;4.30E-06;2.25E-06;9.05E-06;1.16E-05;2.24E-06;1.42E-06;4.27E-06;7.63E-06;1.95E-06;9.45E-07;2.82E-06
Region243;CM;21;0cb47d54-7d7e-11de-9ae2-0019e336be3a;0.000260168;2.12E-05;1.71E-05;0.000107724;0.00016829;1.52E-05;1.33E-05;5.01E-05;3.86E-05;5.62E-06;7.03E-06;1.40E-05;2.16E-05;4.20E-06;4.33E-06;4.23E-06
Region244;KH;20;0c0d5768-7d7e-11de-9ae2-0019e336be3a;0.000573422;5.20E-05;3.11E-05;0.000216025;0.000368797;3.56E-05;2.42E-05;0.000106742;9.19E-05;1.32E-05;1.40E-05;3.00E-05;5.02E-05;9.26E-06;8.13E-06;6.70E-06
Region245;TD;24;0cbbba9c-7d7e-11de-9ae2-0019e336be3a;4.49E-05;3.69E-06;1.43E-06;1.11E-05;3.03E-05;2.82E-06;1.13E-06;6.55E-06;1.27E-05;1.90E-06;8.21E-07;3.73E-06;9.25E-06;1.73E-06;6.09E-07;2.92E-06
Region246;EC;34;0d0e72a0-7d7e-11de-9ae2-0019e336be3a;0.000330419;2.81E-05;2.61E-05;0.000180028;0.000208411;1.96E-05;2.03E-05;8.10E-05;4.53E-05;6.72E-06;1.12E-05;2.16E-05;2.46E-05;4.84E-06;6.37E-06;5.29E-06
Region247;GN;49;0e34b6f8-7d7e-11de-9ae2-0019e336be3a;2.40E-04;1.86E-05;1.16E-05;7.44E-05;1.52E-04;1.31E-05;8.55E-06;3.50E-05;3.53E-05;4.97E-06;4.73E-06;1.08E-05;1.97E-05;3.71E-06;2.99E-06;3.78E-06
Region248;CD;41;0c29d73a-7d7e-11de-9ae2-0019e336be3a;2.21E-04;1.88E-05;1.18E-05;6.70E-05;1.44E-04;1.42E-05;9.25E-06;3.23E-05;2.91E-05;5.11E-06;5.13E-06;1.02E-05;1.56E-05;3.89E-06;3.02E-06;3.66E-06
Region249;CG;42;0c193b28-7d7e-11de-9ae2-0019e336be3a;1.14E-04;1.08E-05;4.53E-06;2.84E-05;7.97E-05;8.54E-06;3.86E-06;1.43E-05;1.65E-05;3.38E-06;2.41E-06;5.83E-06;9.40E-06;2.76E-06;1.51E-06;2.98E-06
Region250;TK;527;132fcda0-7d7e-11de-9ae2-0019e336be3a;3.74E-06;7.77E-07;1.67E-07;1.40E-06;3.47E-06;9.17E-07;2.00E-07;1.57E-06;3.52E-06;1.13E-06;2.43E-07;2.19E-06;3.69E-06;1.21E-06;2.64E-07;2.47E-06
Region251;RAF;297;2f693dc6-7e28-11de-9820-0019e336be3a;0.000185437;1.41E-05;7.65E-06;5.26E-05;1.17E-04;9.77E-06;5.83E-06;2.51E-05;3.16E-05;4.02E-06;3.35E-06;8.22E-06;1.88E-05;3.11E-06;2.08E-06;3.56E-06
Region252;LT;70;0f46d4ea-7d7e-11de-9ae2-0019e336be3a;2.11E-04;2.29E-05;1.98E-05;1.58E-04;1.34E-04;1.47E-05;1.61E-05;7.64E-05;4.18E-05;5.87E-06;9.79E-06;2.15E-05;2.60E-05;4.25E-06;6.56E-06;5.65E-06
Region253;MA;82;0f848e98-7d7e-11de-9ae2-0019e336be3a;2.00E-04;1.41E-05;6.38E-06;5.09E-05;1.24E-04;9.03E-06;4.99E-06;2.41E-05;3.82E-05;3.86E-06;2.93E-06;8.13E-06;2.38E-05;3.01E-06;2.26E-06;3.80E-06
Region254;SZ;129;N/A;3.32E-04;2.38E-05;1.16E-05;8.58E-05;2.08E-04;1.61E-05;8.25E-06;4.09E-05;5.29E-05;5.81E-06;4.59E-06;1.16E-05;3.01E-05;4.27E-06;2.75E-06;4.18E-06
Region255;PN;100;150266d8-7d7e-11de-9ae2-0019e336be3a;3.04E-06;8.24E-07;1.28E-07;1.29E-06;3.46E-06;9.78E-07;1.75E-07;1.62E-06;4.04E-06;1.24E-06;2.44E-07;2.38E-06;4.14E-06;1.30E-06;2.64E-07;2.64E-06
Region256;SN;113;12c6a37a-7d7e-11de-9ae2-0019e336be3a;0.000231206;1.53E-05;6.10E-06;4.42E-05;0.000141415;1.02E-05;4.46E-06;2.05E-05;3.73E-05;3.96E-06;2.60E-06;6.87E-06;2.15E-05;3.01E-06;1.59E-06;3.32E-06
Region257;UG;140;13685c7e-7d7e-11de-9ae2-0019e336be3a;0.000959688;8.36E-05;7.63E-05;4.49E-04;6.22E-04;6.04E-05;5.93E-05;2.03E-04;1.29E-04;1.93E-05;3.18E-05;5.00E-05;6.51E-05;1.32E-05;1.72E-05;9.47E-06
Region258;BZ;166;09f36814-7d7e-11de-9ae2-0019e336be3a;7.16E-05;1.18E-05;7.48E-06;5.46E-05;5.65E-05;9.05E-06;6.87E-06;3.83E-05;2.04E-05;4.60E-06;5.68E-06;1.36E-05;1.31E-05;3.60E-06;3.62E-06;4.22E-06
Region259;IR;173;0ea9e766-7d7e-11de-9ae2-0019e336be3a;2.17E-04;1.52E-05;8.06E-06;6.19E-05;1.38E-04;9.93E-06;6.67E-06;3.18E-05;4.44E-05;4.16E-06;4.23E-06;1.07E-05;2.74E-05;3.15E-06;2.93E-06;4.25E-06
Region260;WF;149;14644bba-7d7e-11de-9ae2-0019e336be3a;3.56E-06;8.09E-07;1.65E-07;1.46E-06;3.67E-06;9.34E-07;1.98E-07;1.58E-06;3.70E-06;1.17E-06;2.45E-07;2.26E-06;3.77E-06;1.23E-06;2.64E-07;2.50E-06
Region261;ES;158;12ea642c-7d7e-11de-9ae2-0019e336be3a;0.000325154;2.84E-05;2.11E-05;0.000166083;0.00020949;1.82E-05;1.59E-05;7.79E-05;6.60E-05;7.09E-06;9.84E-06;2.17E-05;4.02E-05;5.11E-06;6.53E-06;5.95E-06
Region262;NC;162;0fdb5bec-7d7e-11de-9ae2-0019e336be3a;1.02E-05;1.21E-06;7.80E-07;6.27E-06;7.11E-06;1.21E-06;6.15E-07;3.06E-06;4.34E-06;1.22E-06;3.69E-07;2.49E-06;4.12E-06;1.27E-06;3.19E-07;2.54E-06
Region263;SA;163;129c6a88-7d7e-11de-9ae2-0019e336be3a;8.41E-05;5.70E-06;1.03E-06;7.66E-06;5.35E-05;4.05E-06;8.07E-07;4.73E-06;1.87E-05;2.25E-06;6.22E-07;3.27E-06;1.25E-05;1.95E-06;4.70E-07;2.90E-06
